name,citation,directory_id,act_id,repealed,url
Community Living Authority Act,"SBC 2004, c 60",04060,04060_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/04060_01
Community Safety Act,"SBC 2013, c 16",564673337,13016,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/13016
Community Services Interim Authorities Act,"SBC 2002, c 58",02058,02058_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/02058_01
Community Services Labour Relations Act,"SBC 2003, c 27",03027,03027_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03027_01
Company Act,"RSBC 1996, c 62",96062rep,96062rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96062rep_01
Company Act,"SBC 1999, c 27",99027rep,99027rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/99027rep_01
Company Clauses Act,"RSBC 1996, c 63",96063rep,96063rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96063rep_01
Condominium Act,"RSBC 1996, c 64",96064rep,96064rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96064rep_01
Conflict of Laws Rules for Trusts Act,"RSBC 1996, c 65",96065,96065_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96065_01
Constitution Act,"RSBC 1996, c 66",96066,96066_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96066_01
Constitutional Amendment Approval Act,"RSBC 1996, c 67",96067,96067_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96067_01
Constitutional Question Act,"RSBC 1996, c 68",96068,96068_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96068_01
Consumer Protection Act,"RSBC 1996, c 69",96069rep,96069rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96069rep_01
Consumption Tax Rebate and Transition Act,"SBC 2010, c 5",10005,10005_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/10005_01
Container Trucking Act,"SBC 2014, c 28",14028,14028_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/14028_01
Continuing Care Act,"RSBC 1996, c 70",96070,96070_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96070_01
Cooperative Association Act,"RSBC 1996, c 71",201671421,96071rep,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96071rep
Cooperative Association Act,"SBC 1999, c 28",99028,99028_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/99028_01
Coroners Act,"RSBC 1996, c 72",96072rep,96072rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96072rep_01
Coroners Act,"SBC 2007, c 15",07015,07015_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/07015_01
Corporation Capital Tax Act,"RSBC 1996, c 73",96073,96073_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96073_01
Correction Act,"RSBC 1996, c 74",96074rep,96074rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96074rep_01
Correction Act,"SBC 2004, c 46",04046,04046_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/04046_01
Cosmetologists Act,"RSBC 1996, c 178",96178rep,96178rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96178rep_01
Cost of Consumer Credit Disclosure Act,"SBC 2000, c 13",00013rep,00013rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/00013rep_01
County Boundary Act,"RSBC 1996, c 75",96075,96075_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96075_01
Court Agent Act,"RSBC 1996, c 76",96076,96076_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96076_01
Court Jurisdiction and Proceedings Transfer Act,"SBC 2003, c 28",03028,03028_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03028_01
Court of Appeal Act,"RSBC 1996, c 77",96077,96077_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96077_01
Court of Appeal Act,"SBC 2021, c 6",556164068,21006,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/21006
Court Order Enforcement Act,"RSBC 1996, c 78",96078,96078_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96078_01
Court Order Interest Act,"RSBC 1996, c 79",96079,96079_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96079_01
Court Rules Act,"RSBC 1996, c 80",96080,96080_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96080_01
Canadian Pacific Railway (Stone and Timber) Settlement Act,"SBC 2014, c 27",14027,14027_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/14027_01
Cannabis Control and Licensing Act,"SBC 2018, c 29",377658333,18029,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/18029
Cannabis Distribution Act,"SBC 2018, c 28",780119025,18028,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/18028
Capital Commission Act,"RSBC 1996, c 43",96043,96043rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96043rep_01
Carbon Tax Act,"SBC 2008, c 40",08040,08040_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/08040_01
Debt Collection Act,"RSBC 1996, c 92",96092rep,96092rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96092rep_01
Debtor Assistance Act,"RSBC 1996, c 93",96093,96093_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96093_01
Declaration on the Rights of Indigenous Peoples Act,"SBC 2019, c 44",1593929337,19044,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/19044
Degree Authorization Act,"SBC 2002, c 24",02024,02024_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/02024_01
Dentists Act,"RSBC 1996, c 94",96094rep,96094rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96094rep_01
Destination BC Corp. Act,"SBC 2013, c 6",1424676014,13006_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/13006_01
Dike Maintenance Act,"RSBC 1996, c 95",96095,96095_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96095_01
Diking Authority Act,"RSBC 1996, c 96",96096rep,96096rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96096rep_01
Disability Benefits Program Act,"RSBC 1996, c 97",96097rep,96097rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96097rep_01
Disciplinary Authority Protection Act,"RSBC 1996, c 98",96098,96098_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96098_01
Document Disposal Act,"RSBC 1996, c 99",96099,96099_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96099_01
"Dogwood, Rhododendron and Trillium Protection Act","RSBC 1996, c 100",96100rep,96100rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96100rep_01
Douglas Day Act,"RSBC 1996, c 101",96101,96101_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96101_01
"Drainage, Ditch and Dike Act","RSBC 1996, c 102",96102,96102_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96102_01
Drinking Water Protection Act,"SBC 2001, c 9",01009,01009_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/01009_01
Early Childhood Educators Act,"SBC 2021, c 25",1993230617,21025,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/21025
Early Learning and Child Care Act,"SBC 2021, c 22",879377099,21022,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/21022
Ecological Reserve Act,"RSBC 1996, c 103",96103,96103_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96103_01
Economic Development Electricity Rate Act,"RSBC 1996, c 104",96104rep,96104rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96104rep_01
"Economic Incentive and Stabilization Statutes Amendment Act, 2008","SBC 2008, c 44",607407498,08044_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/08044_01
Economic Stabilization (COVID-19) Act,"SBC 2020, c 19",945215442,20019,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/20019
Educational Institution Capital Finance Act,"RSBC 1996, c 105",96105rep,96105rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96105rep_01
E-Health (Personal Health Information Access and Protection of Privacy) Act,"SBC 2008, c 38",08038,08038_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/08038_01
Election Act,"RSBC 1996, c 106",96106,96106_00_multi,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96106_00_multi
Electoral Boundaries Commission Act,"RSBC 1996, c 107",96107,96107_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96107_01
Electoral Districts Act,"RSBC 1996, c 108",1921621505,96108,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96108
Electoral Districts Act,"SBC 1999, c 31",99031rep,99031rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/99031rep_01
Electoral Districts Act,"SBC 2008, c 14",08014,08014_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/08014_01
Electoral Districts Act,"SBC 2015, c 39",15039act,15039,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/15039
Electoral Reform Referendum 2009 Act,"SBC 2008, c 9",08009,08009_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/08009_01
Electoral Reform Referendum 2018 Act,"SBC 2017, c 22",1316968157,17022_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/17022_01
Electoral Reform Referendum Act,"SBC 2004, c 47",04047rep,04047rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/04047rep_01
Electrical Safety Act,"RSBC 1996, c 109",96109rep,96109rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96109rep_01
Electronic Transactions Act,"SBC 2001, c 10",01010,01010_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/01010_01
Elevating Devices Safety Act,"RSBC 1996, c 110",96110rep,96110rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96110rep_01
Emergency and Health Services Act,"RSBC 1996, c 182",1420876510,96182b_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96182b_01
Emergency Communications Corporations Act,"SBC 1997, c 47",97047,97047_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/97047_01
Emergency Health Services Act,"RSBC 1996, c 182",96182,96182_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96182_01
Emergency Intervention Disclosure Act,"SBC 2012, c 19",1262480807,12019_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12019_01
Emergency Program Act,"RSBC 1996, c 111",96111,96111_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96111_01
Employee Investment Act,"RSBC 1996, c 112",96112,96112_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96112_01
Employer Health Tax Act,"SBC 2018, c 42",1290526027,18042,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/18042
Employment and Assistance Act,"SBC 2002, c 40",02040,02040_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/02040_01
Employment and Assistance for Persons with Disabilities Act,"SBC 2002, c 41",02041,02041_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/02041_01
Employment Standards Act,"RSBC 1996, c 113",96113,96113_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96113_01
Energy Efficiency Act,"RSBC 1996, c 114",96114,96114_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96114_01
Enforcement of Canadian Judgments Act,"RSBC 1996, c 115",96115rep,96115rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96115rep_01
Enforcement of Canadian Judgments and Decrees Act,"SBC 2003, c 29",03029,03029_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03029_01
Engineers and Geoscientists Act,"RSBC 1996, c 116",96116,96116_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96116_01
Environment and Land Use Act,"RSBC 1996, c 117",96117,96117_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96117_01
Environment Management Act,"RSBC 1996, c 118",96118rep,96118rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96118rep_01
Environmental Assessment Act,"RSBC 1996, c 119",96119rep,96119rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96119rep_01
Environmental Assessment Act,"SBC 2002, c 43",02043,02043_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/02043_01
Environmental Assessment Act,"SBC 2018, c 51",136589993,18051,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/18051
Environmental Management Act,"SBC 2003, c 53",03053,03053_00_multi,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03053_00_multi
Escheat Act,"RSBC 1996, c 120",96120,96120_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96120_01
Esquimalt and Nanaimo Railway Belt Tax Act,"RSBC 1996, c 121",96121,96121_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96121_01
Estate Administration Act,"RSBC 1996, c 122",96122,96122_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96122_01
Estates of Missing Persons Act,"RSBC 1996, c 123",96123,96123_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96123_01
Evidence Act,"RSBC 1996, c 124",96124,96124_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96124_01
Expropriation Act,"RSBC 1996, c 125",96125,96125_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96125_01
"Expropriation Amendment Act, 2004","SBC 2004, c 61",1789979166,04061_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/04061_01
Financial Services Authority Act,"SBC 2019, c 14",328267209,19014,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/19014
"Financial Services Authority Act, 2019","SBC 2019, c 14",1434265452,19014a,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/19014a
Fire and Police Services Collective Bargaining Act,"RSBC 1996, c 142",96142,96142_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96142_01
Fire Department Act,"RSBC 1996, c 143",96143,96143_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96143_01
Fire Safety Act,"SBC 2016, c 19",962494827,16019,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/16019
Fire Services Act,"RSBC 1996, c 144",96144,96144_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96144_01
Firearm Act,"RSBC 1996, c 145",96145,96145_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96145_01
Firearm Violence Prevention Act,"SBC 2021, c 7",594878503,21007,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/21007
Fireworks Act,"RSBC 1996, c 146",96146,96146_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96146_01
First Nations Education Act,"SBC 2007, c 40",07040,07040_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/07040_01
"First Peoples' Heritage, Language and Culture Act","RSBC 1996, c 147",96147,96147_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96147_01
Fish and Seafood Act,"SBC 2015, c 14",15014a,15014,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/15014
Fish Inspection Act,"RSBC 1996, c 148",96148,96148_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96148_01
Fish Protection Act,"SBC 1997, c 21",97021,97021_01a,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/97021_01a
Fisheries Act,"RSBC 1996, c 149",96149,96149_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96149_01
Fisheries Renewal Act,"SBC 1997, c 22",97022rep,97022rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/97022rep_01
Fishing Collective Bargaining Act,"RSBC 1996, c 150",96150,96150_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96150_01
Flathead Watershed Area Conservation Act,"SBC 2011, c 20",11020,11020_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/11020_01
Flood Relief Act,"RSBC 1996, c 151",96151,96151_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96151_01
